Date,Open,High,Low,Close,Volume
12/12/2024,424.84,429.30,415.00,418.10,87752200.00
12/13/2024,420.00,436.30,415.71,436.23,89000200.00
12/16/2024,441.09,463.19,436.15,463.02,114083800.00
12/17/2024,475.90,483.99,457.51,479.86,131223000.00
12/18/2024,466.50,488.54,427.01,440.13,149340800.00
12/19/2024,451.88,456.36,420.02,436.17,118566100.00
12/20/2024,425.51,447.08,417.64,421.06,132216200.00
12/23/2024,431.00,434.51,415.41,430.60,72698100.00
12/24/2024,435.90,462.78,435.14,462.28,59551800.00
12/26/2024,465.16,465.33,451.02,454.13,76366400.00
12/27/2024,449.52,450.00,426.50,431.66,82666800.00
12/30/2024,419.40,427.00,415.75,417.41,64941000.00
12/31/2024,423.79,427.93,402.54,403.84,76825100.00
1/2/2025,390.10,392.73,373.04,379.28,109710700.00
1/3/2025,381.48,411.88,379.45,410.44,95423300.00
1/6/2025,423.20,426.43,401.70,411.05,85516500.00
1/7/2025,405.83,414.33,390.00,394.36,75699500.00
1/8/2025,392.95,402.50,387.40,394.94,73038800.00
1/10/2025,391.40,399.28,377.29,394.74,62287300.00
1/13/2025,383.21,403.79,380.07,403.31,67580500.00
1/14/2025,414.34,422.64,394.54,396.36,84565000.00
1/15/2025,409.90,429.80,405.66,428.22,81375500.00
1/16/2025,423.49,424.00,409.13,413.82,68335200.00
1/17/2025,421.50,439.74,419.75,426.50,94991400.00
1/21/2025,432.64,433.20,406.31,424.07,87320900.00
1/22/2025,416.81,428.00,414.59,415.11,60963300.00
1/23/2025,416.06,420.73,408.95,412.38,50690600.00
1/24/2025,414.45,418.88,405.78,406.58,56427100.00
1/27/2025,394.80,406.69,389.00,397.15,58125500.00
1/28/2025,396.91,400.59,386.50,398.09,48910700.00
1/29/2025,395.21,398.59,384.48,389.10,68033600.00
1/30/2025,410.78,412.50,384.41,400.28,98092900.00
1/31/2025,401.53,419.99,401.34,404.60,83568200.00
2/3/2025,386.68,389.17,374.36,383.68,93732100.00
2/4/2025,382.63,394.00,381.40,392.21,57072200.00
2/5/2025,387.51,388.39,375.53,378.17,57223300.00
2/6/2025,373.03,375.40,363.18,374.32,77918200.00
2/7/2025,370.19,380.55,360.34,361.62,70298300.00
2/10/2025,356.21,362.70,350.51,350.73,77514900.00
2/11/2025,345.80,349.37,325.10,328.50,118543400.00
2/12/2025,329.94,346.40,329.12,336.51,105382700.00
2/13/2025,345.00,358.69,342.85,355.94,89441500.00
2/14/2025,360.62,362.00,347.50,355.84,68277300.00
2/18/2025,355.01,359.10,350.02,354.11,51631700.00
2/19/2025,354.00,367.34,353.67,360.56,67094400.00
2/20/2025,361.51,362.30,348.00,354.40,45965400.00
2/21/2025,353.44,354.98,334.42,337.80,74058600.00
2/24/2025,338.14,342.40,324.70,330.53,76052300.00
2/25/2025,327.02,328.89,297.25,302.80,134228800.00
2/26/2025,303.71,309.00,288.04,290.80,100118300.00
2/27/2025,291.16,297.23,280.88,281.95,101748200.00
2/28/2025,279.50,293.88,273.60,292.98,115697000.00
3/3/2025,300.34,303.94,277.30,284.65,115551400.00
3/4/2025,270.93,284.35,261.84,272.04,126706600.00
3/5/2025,272.92,279.55,267.71,279.10,94042900.00
3/6/2025,272.06,272.65,260.02,263.45,98451600.00
3/7/2025,259.32,266.25,250.73,262.67,102369600.00
3/10/2025,252.54,253.37,220.00,222.15,189076900.00
3/11/2025,225.31,237.06,217.02,230.58,174896400.00
3/12/2025,247.22,251.84,241.10,248.09,142215700.00
3/13/2025,248.13,248.29,232.60,240.68,114813500.00
3/14/2025,247.31,251.58,240.73,249.98,100242300.00
3/17/2025,245.06,245.40,232.80,238.01,111900600.00
3/18/2025,228.16,230.10,222.28,225.31,111477600.00
3/19/2025,231.61,241.41,229.20,235.86,111993800.00
3/20/2025,233.35,238.00,230.05,236.26,99028300.00
3/21/2025,234.99,249.52,234.55,248.71,132728700.00
3/24/2025,258.08,278.64,256.33,278.39,169079900.00
3/25/2025,283.60,288.20,271.28,288.14,150361500.00
3/26/2025,282.66,284.90,266.51,272.06,153629800.00
3/27/2025,272.48,291.85,271.82,273.13,162572100.00
3/28/2025,275.58,276.10,260.57,263.55,123809400.00
3/31/2025,249.31,260.56,243.36,259.16,134008900.00
4/1/2025,263.80,277.45,259.25,268.46,146486900.00
4/2/2025,254.60,284.99,251.27,282.76,212787800.00
4/3/2025,265.29,276.30,261.51,267.28,136174300.00
4/4/2025,255.38,261.00,236.00,239.43,181229400.00
4/7/2025,223.78,252.00,214.25,233.29,183453800.00
4/8/2025,245.00,250.44,217.80,221.86,171603500.00
4/9/2025,224.69,274.69,223.88,272.20,219433400.00
4/10/2025,260.00,262.49,239.33,252.40,181722600.00
4/11/2025,251.84,257.74,241.36,252.31,128948100.00
4/14/2025,258.36,261.80,245.93,252.35,100135200.00
4/15/2025,249.91,258.75,247.54,254.11,79594300.00
4/16/2025,247.61,251.97,233.89,241.55,112378700.00
4/17/2025,243.47,244.34,237.68,241.37,83404800.00
4/21/2025,230.26,232.21,222.79,227.50,97768000.00
4/22/2025,230.96,242.79,229.85,237.97,120858500.00
4/23/2025,254.86,259.45,244.43,250.74,150381900.00
4/24/2025,250.50,259.54,249.20,259.51,94464200.00
4/25/2025,261.69,286.85,259.63,284.95,167560700.00
4/28/2025,288.98,294.86,272.42,285.88,151731800.00
